"TradeDate","Expiry","Strike","SpotIn","PremiumIn","SpotOut","PremiumOut","PnL"
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,32.65,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,35.66,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,37.45,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,39.35,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,41.01,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,44.66,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,48.65,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,51.05,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,57.14,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,60.79,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,73,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,77.35,0.6
2019-03-29,2019-03-29,2835,2834.87,0.6,2834.87,87.25,0.6
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,1.73,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,8,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,12.7,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,14.85,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,17.8,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,20.16,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,21.6,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,24.16,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,26,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,27.2,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,29.3,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,31.8,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,33.05,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,33.8,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,35.7,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,40.7,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,44.95,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,50.36,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,54.8,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,58.25,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,66.96,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,81.15,0.3
2019-04-30,2019-04-30,2945,2946.42,1.73,2946.42,103.01,0.3
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,2.5,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,16.14,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,24.2,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,29.55,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,32.01,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,35.61,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,39.55,0.75
